Apartment Name,Address,City,Zip Code,Price,Room,Amenities,Phone,URL
Hillside Meadows-The Perfect Place to Call...,1553 Parkline Dr,Pittsburgh,PA 15227,"$530 - $1,175",Studio - 3 Beds,"Pets Allowed, Refrigerator, Kitchen, Walk-In Closets, Range, Maintenance on site, CableReady",(412) 838-4781,https://www.apartments.com/hillside-meadows-the-perfect-place-to-call-pittsburgh-pa/0tgw3s1/
Lebanon Vue,400 Cochran Rd,Pittsburgh,PA 15228,"$1,049 - $1,650",1-3 Beds,"Pets Allowed, Refrigerator, Kitchen, Range, Maintenance on site, CableReady, Heat",(412) 960-2390,https://www.apartments.com/lebanon-vue-pittsburgh-pa/3cw2ygd/
Holiday Park Apartments and Townhomes,80 Sandune Dr,Pittsburgh,PA 15239,"$867 - $1,930",Studio - 3 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",(412) 744-3359,https://www.apartments.com/holiday-park-apartments-and-townhomes-pittsburgh-pa/l6dpyve/
The Docks Apartments and Townhomes,501 Riverfront Dr,Pittsburgh,PA 15238,"$1,540 - $4,635",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",(412) 871-6702,https://www.apartments.com/the-docks-apartments-and-townhomes-pittsburgh-pa/wjt971j/
930 Penn Ave,930 Penn Ave,Pittsburgh,PA 15222,"$2,400 - $3,050",2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",(412) 960-2759,https://www.apartments.com/930-penn-ave-pittsburgh-pa/b91lvx8/
The Pennsylvanian,1100 Liberty Ave,Pittsburgh,PA 15222,"$1,363 - $3,524",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",(412) 455-5813,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/
Bryn Mawr,100 Bryn Mawr Ct,Pittsburgh,PA 15221,"$1,158 - $4,111",1-2 Beds,"Cats Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(724) 558-6837,https://www.apartments.com/bryn-mawr-pittsburgh-pa/4zpghnk/
Crane Village Apartments,651 Oaklynn Ct,Pittsburgh,PA 15220,"$950 - $1,440",Studio - 3 Beds,"Pets Allowed, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets",(412) 838-4789,https://www.apartments.com/crane-village-apartments-pittsburgh-pa/j5zf8h7/
Chestnut Ridge Apartments,3200 Chestnut Ridge Dr,Pittsburgh,PA 15205,"$995 - $1,720",1-2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Pavillon, Tennis Court",(412) 668-1112,https://www.apartments.com/chestnut-ridge-apartments-pittsburgh-pa/thnezhc/
City View Apartments,1420 Centre Ave,Pittsburgh,PA 15219,"$1,134 - $3,259",Studio - 4 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(412) 896-0734,https://www.apartments.com/city-view-apartments-pittsburgh-pa/l1d4klg/
"Franklin West Apartments, Leasing Office",272 Shady Ave,Pittsburgh,PA 15206,"$1,275 - $2,845",1-2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",(412) 318-9429,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/
The Roosevelt Building,607-609 Penn Ave,Pittsburgh,PA 15222,"$1,400 - $1,700",1 Bed,"Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Pavillon",(412) 231-9408,https://www.apartments.com/the-roosevelt-building-pittsburgh-pa/dd0glml/
Carson Street Commons,2525-2539 E Carson St,Pittsburgh,PA 15203,"$1,530 - $3,850",1-2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",(412) 547-9869,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/
Grandview Pointe Apartments,1411 Grandview Ave,Pittsburgh,PA 15211,"$1,565 - $8,908",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(412) 472-7533,https://www.apartments.com/grandview-pointe-apartments-pittsburgh-pa/5k0yx4p/
Royal York Apartments,3955 Bigelow Blvd,Pittsburgh,PA 15213,"$1,700 - $2,700",2-3 Beds,"Dishwasher, CableReady, Controlled Access, Hardwood Floors, Elevator, Laundry Facilities, Rooftop Deck",(412) 407-8926,https://www.apartments.com/royal-york-apartments-pittsburgh-pa/whft4ml/
Park View Apartments,10 Allegheny Ctr,Pittsburgh,PA 15212,"$1,035 - $3,760",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",(412) 455-3296,https://www.apartments.com/park-view-apartments-pittsburgh-pa/8blhq53/
Oakland Apartments,4629 Bayard St,Pittsburgh,PA 15213,"$1,029 - $5,000",Studio - 5 Beds,"Dishwasher, Refrigerator, Kitchen, CableReady, Heat, High-Speed Internet",(412) 801-7215,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/
900 Penn Ave,900 Penn Ave,Pittsburgh,PA 15222,"$1,379 - $2,399",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",(412) 688-6750,https://www.apartments.com/900-penn-pittsburgh-pa/xg5c9vp/
Nineteen North Apartments and Townhomes,1050 Nineteen North Dr,Pittsburgh,PA 15237,"$1,305 - $3,988",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(724) 623-2648,https://www.apartments.com/nineteen-north-apartments-and-townhomes-pittsburgh-pa/g7clc8y/
The Yards at 3 Crossings,2645 Railroad St,Pittsburgh,PA 15222,"$1,381 - $6,186",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Maintenance on site, Stainless Steel Appliances, Grill, Lounge",(412) 668-5198,https://www.apartments.com/the-yards-at-3-crossings-pittsburgh-pa/qeqhmgz/
Sk Management,795-10 Pine Valley Dr,Pittsburgh,PA 15239,"$850 - $1,700",1-3 Beds,"Cats Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",(724) 578-5258,https://www.apartments.com/sk-management-pittsburgh-pa/m11s1dl/
SkyVue (PA),3333 Forbes Ave,Pittsburgh,PA 15213,"$1,125 - $2,300",Studio - 3 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Pavillon",(412) 960-8816,https://www.apartments.com/skyvue-pa-pittsburgh-pa/4lw72qk/
Eastside Bond,6105 Spirit St,Pittsburgh,PA 15206,"$1,798 - $4,858",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Refrigerator, Kitchen, In Unit Washer & Dryer",(412) 816-9302,https://www.apartments.com/eastside-bond-pittsburgh-pa/cj0pksg/
Heinz Lofts,300 Heinz St,Pittsburgh,PA 15212,"$1,549 - $3,284",1-3 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer",(412) 744-8053,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/
Oak Hill Apartments,22 Strayhorn Way,Pittsburgh,PA 15213,"$1,460 - $2,195",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(412) 593-5568,https://www.apartments.com/oak-hill-apartments-pittsburgh-pa/m4pz40l/
Encore Apartments,100 7th St,Pittsburgh,PA 15222,"$1,943 - $5,415",1-2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Kitchen, In Unit Washer & Dryer, Balcony",(412) 455-3832,https://www.apartments.com/encore-apartments-pittsburgh-pa/emw3glm/
The Foundry at 41st,4107 Willow St,Pittsburgh,PA 15201,"$1,548 - $3,210",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(844) 572-0310,https://www.apartments.com/the-foundry-at-41st-pittsburgh-pa/3n08zge/
Arsenal 201,3922 Foster St,Pittsburgh,PA 15201,"$742 - $9,770",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(412) 960-1694,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/
Coda on Centre,5765 Centre Ave,Pittsburgh,PA 15206,"$1,825 - $12,573",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, In Unit Washer & Dryer, Disposal, Microwave",(412) 404-0145,https://www.apartments.com/coda-on-centre-pittsburgh-pa/y9dvdqv/
Park West 205 Apartment Homes,1000 Park West Place,Pittsburgh,PA 15205,"$1,450 - $3,016",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Pavillon, Disposal",(724) 315-3302,https://www.apartments.com/park-west-205-apartment-homes-pittsburgh-pa/c78f3bf/
Glasshouse Pittsburgh,160 E Station Square Dr,Pittsburgh,PA 15219,Call for Rent,1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",(412) 784-6304,https://www.apartments.com/glasshouse-pittsburgh-pittsburgh-pa/mbet9fh/
Terminal 21,615 First Ave,Pittsburgh,PA 15219,"$1,284 - $2,260",Studio - 2 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Microwave, Granite Countertops",(412) 385-6268,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/
Smallman Flats,2908 Smallman St,Pittsburgh,PA 15201,"$1,250 - $1,700",Studio - 1 Bed,"Dishwasher, Refrigerator, Range, Disposal, Microwave, Granite Countertops, Elevator",(412) 278-7793,https://www.apartments.com/smallman-flats-pittsburgh-pa/kw5yr38/
The District,1759 Waterfront Pl,Pittsburgh,PA 15222,"$1,522 - $5,380",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",(412) 455-8838,https://www.apartments.com/the-district-pittsburgh-pa/exkm0fm/
Industry Pittsburgh,5819 Centre Ave,Pittsburgh,PA 15206,"$2,190 - $4,970",Studio - 2 Beds,"Pets Allowed, Fitness Center, Controlled Access, Elevator",(412) 924-5844,https://www.apartments.com/industry-pittsburgh-pittsburgh-pa/eec56qm/
TRELLIS NORTH FAYETTE Apartments,1500 Park Ln,Pittsburgh,PA 15275,"$1,265 - $1,874",Studio - 2 Beds,"Pets Allowed, In Unit Washer & Dryer, Heat, High-Speed Internet, Stainless Steel Appliances, Controlled Access",(412) 528-6238,https://www.apartments.com/trellis-north-fayette-apartments-pittsburgh-pa/88cz940/
The Franklin on Penn,2817 Penn Ave,Pittsburgh,PA 15222,"$1,400 - $2,100",Studio,"Dishwasher, In Unit Washer & Dryer, Disposal, Stainless Steel Appliances, Controlled Access, Granite Countertops, Elevator",(412) 871-6191,https://www.apartments.com/the-franklin-on-penn-pittsburgh-pa/j1w2l26/
The Artisan at Robinson,301 High Tower Blvd,Pittsburgh,PA 15205,"$1,695 - $2,625",1-3 Beds,"Pets Allowed, Fitness Center, Pool",(724) 717-2324,https://www.apartments.com/the-artisan-at-robinson-pittsburgh-pa/7bbn1nx/
LiveWell,550 Wood St,Pittsburgh,PA 15222,"$1,440 - $4,683",Studio - 3 Beds,"Fitness Center, Package Service, Hardwood Floors, Concierge",(412) 899-2847,https://www.apartments.com/livewell-pittsburgh-pa/tj69y3b/
The Preserve at Heinz,950 Progress St,Pittsburgh,PA 15212,"$1,199 - $2,060",1-2 Beds,"Fitness Center, Maintenance on site, Business Center, Controlled Access, Elevator",(412) 231-9831,https://www.apartments.com/the-preserve-at-heinz-pittsburgh-pa/h7865f1/
The Cork Factory Lofts,2349 Railroad St,Pittsburgh,PA 15222,"$1,799 - $5,800",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(412) 517-7778,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/
Emerald Gardens,2400 Village Rd,Pittsburgh,PA 15205,"$1,025 - $1,520",1-3 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",(412) 520-3056,https://www.apartments.com/emerald-gardens-pittsburgh-pa/2gw33r9/
NORMANDY,5530 5th Ave,Pittsburgh,PA 15232,$910,Studio,"Cats Allowed, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Range",(412) 754-3699,https://www.apartments.com/normandy-pittsburgh-pa/0wmbfg3/
Shadyside Apartments,5925 5th Ave,Pittsburgh,PA 15232,"$999 - $1,459",Studio - 1 Bed,"Dishwasher, Kitchen, Disposal, Microwave, High-Speed Internet, Stainless Steel Appliances",(412) 816-9650,https://www.apartments.com/shadyside-apartments-pittsburgh-pa/pdep2qt/
The Alden,5492 Youngridge Dr,Pittsburgh,PA 15236,"$734 - $1,154",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Pavillon",(412) 231-9420,https://www.apartments.com/the-alden-pittsburgh-pa/9ws6nj7/
Kennedy Highlands,200 Adams Dr,Mckees Rocks,PA 15136,"$1,020 - $2,270",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",(724) 623-2595,https://www.apartments.com/kennedy-highlands-mckees-rocks-pa/3r71yrf/
The Regency,1785 McKees Rocks Rd,McKees Rocks,PA 15136,"$1,350 - $2,500",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Controlled Access, Elevator",(724) 623-2930,https://www.apartments.com/the-regency-mckees-rocks-pa/059slt0/
City Vista,325 Elizabeth Dr,Pittsburgh,PA 15220,"$1,722 - $2,566",Studio - 3 Beds,,(412) 903-3524,https://www.apartments.com/city-vista-pittsburgh-pa/f57j5yv/
Hudson Oakland (Semple),515 Semple St,Pittsburgh,PA 15213,"$1,400 - $2,100",2 Beds,,(412) 231-9064,https://www.apartments.com/hudson-oakland-semple-pittsburgh-pa/zy75t0y/
North Shore Flats,220 N Shore Dr,Pittsburgh,PA 15212,"$1,865 - $4,378",1-2 Beds,,(412) 515-3914,https://www.apartments.com/north-shore-flats-pittsburgh-pa/fs3wz0r/
Castle Ridge Apartments,850 Baldwin St,Pittsburgh,PA 15234,"$1,325 - $1,870",1-3 Beds,,(412) 226-4013,https://www.apartments.com/castle-ridge-apartments-pittsburgh-pa/rn8xhw1/
Ridge at Robinson,1501 Meredith Dr,Pittsburgh,PA 15205,"$1,452 - $2,289",1-3 Beds,,(724) 623-2657,https://www.apartments.com/ridge-at-robinson-pittsburgh-pa/xlh2qsp/
The View North Hills,1000 Johnanna Dr,Pittsburgh,PA 15237,"$1,263 - $1,781",1-2 Beds,,(412) 903-3070,https://www.apartments.com/the-view-north-hills-pittsburgh-pa/cwgdbxe/
Brentmoor at Penn Center,1100 Penn Center Blvd,Pittsburgh,PA 15235,"$1,186 - $1,981",Studio - 2 Beds,,(724) 558-8022,https://www.apartments.com/brentmoor-at-penn-center-pittsburgh-pa/f01j4rr/
Kaufmanns,434 5th Ave,Pittsburgh,PA 15219,"$1,437 - $4,318",Studio - 2 Beds,,(412) 924-8081,https://www.apartments.com/kaufmanns-pittsburgh-pa/db3d2xh/
Carriage Park Apartments,300 Chatham Park Dr,Pittsburgh,PA 15220,"$970 - $1,480",Studio - 3 Beds,,(412) 226-4846,https://www.apartments.com/carriage-park-apartments-pittsburgh-pa/x3e5m3m/
Clyde Street Apartments,4800 Ellsworth Ave,Pittsburgh,PA 15213,"$1,470 - $1,765",1-3 Beds,,(412) 407-8907,https://www.apartments.com/clyde-street-apartments-pittsburgh-pa/zn996xx/
Briaridge Apartments,100 Briaridge Dr,Pittsburgh,PA 15221,"$940 - $1,049",1-2 Beds,,(412) 871-6479,https://www.apartments.com/briaridge-apartments-pittsburgh-pa/0txlbx2/
Live South Side,97 S 18th St,Pittsburgh,PA 15203,"$1,849",2 Beds,,(412) 568-3977,https://www.apartments.com/live-south-side-pittsburgh-pa/hf3z3z0/
The School House,500 Tripoli St,Pittsburgh,PA 15212,"$1,325 - $2,300",Studio - 2 Beds,,(412) 231-9616,https://www.apartments.com/the-school-house-pittsburgh-pa/dly951h/
Hamilton Place,100 Addie Ct,Pittsburgh,PA 15234,"$1,310 - $1,990",Studio - 2 Beds,,(412) 278-7038,https://www.apartments.com/hamilton-place-pittsburgh-pa/tl3qth9/
Maiden Bridge and Canongate Apartment Homes,100 White Hampton Ln,Pittsburgh,PA 15236,"$1,295 - $4,058",Studio - 3 Beds,,(570) 634-8379,https://www.apartments.com/maiden-bridge-and-canongate-apartment-homes-pittsburgh-pa/qvg2rkx/
Chateau Perry,951 Perry Hwy,Pittsburgh,PA 15237,"$1,110 - $3,772",1-3 Beds,,(412) 318-9166,https://www.apartments.com/chateau-perry-pittsburgh-pa/rn42b71/
Bear Run Village,100 Bear Run Dr,Pittsburgh,PA 15237,"$1,340 - $3,076",1-3 Beds,,(412) 318-8816,https://www.apartments.com/bear-run-village-pittsburgh-pa/k9frr2c/
The Ashby at South Hills Village Station,1100 Village Dr,Pittsburgh,PA 15241,"$1,320 - $4,509",1-3 Beds,,(412) 851-6490,https://www.apartments.com/the-ashby-at-south-hills-village-station-pittsburgh-pa/gdcp1px/
The Residences @ The GARDEN,6 W North Ave,Pittsburgh,PA 15212,"$1,649 - $2,999",1-2 Beds,,(412) 453-7596,https://www.apartments.com/the-residences-the-garden-pittsburgh-pa/qpvwzbw/
Pleasant Hills,500 E Bruceton Rd,Pittsburgh,PA 15236,"$1,331 - $3,530",1-2 Beds,,(412) 693-6840,https://www.apartments.com/pleasant-hills-pittsburgh-pa/fleqjbv/
First Avenue Lofts,422-440 1st Ave,Pittsburgh,PA 15219,"$1,450 - $1,850",1-2 Beds,,(412) 231-9346,https://www.apartments.com/first-avenue-lofts-pittsburgh-pa/jchhzf4/
Mountvue Apartments,5 Grandview Ave,Pittsburgh,PA 15211,"$1,275 - $2,250",Studio - 2 Beds,,(412) 231-9930,https://www.apartments.com/mountvue-apartments-pittsburgh-pa/8vgwqd2/
Market Square Place,222 Fifth Ave,Pittsburgh,PA 15222,"$1,495 - $3,100",Studio - 2 Beds,,(412) 871-6470,https://www.apartments.com/market-square-place-pittsburgh-pa/kzem0mc/
Nob Hill of Pittsburgh,3000 Swallow Hill Rd,Pittsburgh,PA 15220,"$1,188 - $4,739",Studio - 3 Beds,,(412) 278-7679,https://www.apartments.com/nob-hill-of-pittsburgh-pittsburgh-pa/g75gtty/
Club at North Hills Apartment Homes,700 Duncan Ave,Pittsburgh,PA 15237,"$1,285 - $3,120",1-2 Beds,,(878) 217-6104,https://www.apartments.com/club-at-north-hills-apartment-homes-pittsburgh-pa/m35tbqk/
Baumhaus Apartments,5522 Baum Blvd,Pittsburgh,PA 15232,"$1,800 - $3,600",Studio - 2 Beds,,(412) 404-0143,https://www.apartments.com/baumhaus-apartments-pittsburgh-pa/gxewllw/
The Washington at Chatham,112 Washington Pl,Pittsburgh,PA 15219,"$1,500 - $1,835",Studio - 2 Beds,,(412) 455-8808,https://www.apartments.com/the-washington-at-chatham-pittsburgh-pa/k7mqmg9/
Mulberry Lofts,3205 Penn Ave,Pittsburgh,PA 15201,"$1,558 - $2,887",Studio - 2 Beds,,(412) 872-2535,https://www.apartments.com/mulberry-lofts-pittsburgh-pa/9csb8k4/
Webster Hall,101 N Dithridge St,Pittsburgh,PA 15213,"$1,370",Studio,,(412) 385-6252,https://www.apartments.com/webster-hall-pittsburgh-pa/bd2hm3b/
Fifth Avenue School Lofts,1800 Fifth Ave,Pittsburgh,PA 15219,"$2,200",2 Beds,,(412) 455-8216,https://www.apartments.com/fifth-avenue-school-lofts-pittsburgh-pa/0jb5cg0/
Westpointe Apartment Homes,2000 Westpointe Dr,Pittsburgh,PA 15205,"$1,040 - $2,815",1-3 Beds,,(412) 668-1232,https://www.apartments.com/westpointe-apartment-homes-pittsburgh-pa/vgmf5zd/
Crawford Square Apartments,510 Protectory Pl,Pittsburgh,PA 15219,"$1,408 - $2,636",1-3 Beds,,(412) 693-0991,https://www.apartments.com/crawford-square-apartments-pittsburgh-pa/q5w7s4y/
Apartments at River View,300 Liberty Ave,Pittsburgh,PA 15222,"$1,149 - $5,997",Studio - 3 Beds,,(412) 838-4534,https://www.apartments.com/apartments-at-river-view-pittsburgh-pa/6ee0v3r/
Lot 24 Apartments,2404 Railroad St,Pittsburgh,PA 15222,"$1,898 - $2,545",1 Bed,,(412) 903-3876,https://www.apartments.com/lot-24-apartments-pittsburgh-pa/gd6mkey/
Bracken House,100 Anderson St,Pittsburgh,PA 15212,"$1,495 - $3,701",1-2 Beds,,(412) 754-4463,https://www.apartments.com/bracken-house-pittsburgh-pa/5bgqxtq/
Edge 1909,1909 Waterfront Pl,Pittsburgh,PA 15222,"$1,661 - $8,785",1-2 Beds,,(412) 318-9470,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/
Bloomfield Apartments,5700 Bryant St,Pittsburgh,PA 15206,"$989 - $1,785",Studio - 2 Beds,,(412) 754-7951,https://www.apartments.com/bloomfield-apartments-pittsburgh-pa/89lke41/
Crossroad Towers,200 Sophia Ave,Pittsburgh,PA 15236,"$1,190 - $1,950",Studio - 2 Beds,,(412) 754-7408,https://www.apartments.com/crossroad-towers-pittsburgh-pa/knydk2c/
The Commonwealth Building,316 4th Ave,Pittsburgh,PA 15222,"$1,275 - $2,695",Studio - 2 Beds,,(412) 385-0783,https://www.apartments.com/the-commonwealth-building-pittsburgh-pa/85vsmz3/
University Commons,308 Mckee Pl,Pittsburgh,PA 15213,"$1,115 - $1,716",1-2 Beds,,(412) 455-3941,https://www.apartments.com/university-commons-pittsburgh-pa/ez9devn/
Fieldbrook Apartments,1425 Mcfarland Rd,Pittsburgh,PA 15216,"$799 - $1,225",1-2 Beds,,(412) 960-1813,https://www.apartments.com/fieldbrook-apartments-pittsburgh-pa/tbrqq08/
The Waterfront Apartments and Townhomes,611 E Waterfront Dr,Munhall,PA 15120,"$1,600 - $4,882",1-3 Beds,,(570) 634-8208,https://www.apartments.com/the-waterfront-apartments-and-townhomes-munhall-pa/8gvtzh1/
1569 Duncan Dr,1569 Duncan Dr,Pittsburgh,PA 15237,"$2,250","
                                    3 Beds
                                ",,(844) 731-1083,https://www.apartments.com/1569-duncan-dr-pittsburgh-pa/syqejb5/
Chalfont Apartments,4742 Centre Ave,Pittsburgh,PA 15213,"$2,418","
                                    Studio - 2 Beds
                                ",,(412) 960-1070,https://www.apartments.com/chalfont-apartments-pittsburgh-pa/3smnm9f/
1709 FIFTH,1709 5th Ave,Pittsburgh,PA 15219,"$1,470 - $2,900","
                                    Studio - 2 Beds
                                ",,(412) 693-7396,https://www.apartments.com/1709-fifth-pittsburgh-pa/zejsckw/
St. Clair Woods Apartments,1000 Painters Dr,Pittsburgh,PA 15228,"$1,525","
                                    2 Beds
                                ",,(412) 693-6308,https://www.apartments.com/st-clair-woods-apartments-pittsburgh-pa/cp673fe/
The Ell on Ellsworth (A Hudson Property),5420 Ellsworth Ave,Pittsburgh,PA 15232,"$2,350","
                                    3 Beds
                                ",,(412) 850-4664,https://www.apartments.com/the-ell-on-ellsworth-a-hudson-property-pittsburgh-pa/mx9m19j/
531 Collins St,531 Collins St,Pittsburgh,PA 15206,"$1,750","
                                    3 Beds
                                ",,(412) 744-8568,https://www.apartments.com/531-collins-st-pittsburgh-pa/zr0fprw/
5836 Alderson St,5836 Alderson St,Pittsburgh,PA 15217,"$1,650","
                                    2 Beds
                                ",,(412) 776-0627,https://www.apartments.com/5836-alderson-st-pittsburgh-pa/gw6281y/
The Clark Building,717 Liberty Ave,Pittsburgh,PA 15222,"$1,420 - $1,935","
                                    1-2 Beds
                                ",,(570) 634-8046,https://www.apartments.com/the-clark-building-pittsburgh-pa/r2yslm2/
Allegheny Branch House Lofts,810 W North Ave,Pittsburgh,PA 15233,"$1,329 - $2,699","
                                    Studio - 2 Beds
                                ",,(412) 284-6744,https://www.apartments.com/allegheny-branch-house-lofts-pittsburgh-pa/7n3dcby/
Hudson Oakland,300-306 Craft Ave,Pittsburgh,PA 15213,"$2,100","
                                    3 Beds
                                ",,(412) 816-9525,https://www.apartments.com/hudson-oakland-pittsburgh-pa/2q5c68b/
Brittany Apartments,1717 Penn Ave,Pittsburgh,PA 15221,"$895 - $2,693","
                                    Studio - 2 Beds
                                ",,(412) 385-6593,https://www.apartments.com/brittany-apartments-pittsburgh-pa/sng0556/
Baywood,119-125 Baywood Ave,Pittsburgh,PA 15228,"$1,000","
                                    1 Bed
                                ",,(412) 754-3561,https://www.apartments.com/baywood-pittsburgh-pa/hpvwnp1/
